Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bolivia,BOL,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,1400000,1900000,2400000,1800000,2000000,3000000,3000000,3000000,3000000,2500000,2100000,3800000,3600000,3200000,3200000,3700000,3700000,3900000,4100000,4400000,4000000,5200000,5200000,4800000,5000000,5280000,5740000,7990000,9681000,11200000,14421000,16187000,17805000,18650000,19805000,20800500,42441212.07,50427298.2,68285439.41,83568649.7,99382292.88,105374552.2,
Brazil,BRA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,223000000,263000000,170000000,211000000,36000000,38000000,29000000,31000000,26000000,17000000,30000000,34000000,41000000,48000000,70000000,54000000,53000000,55000000,121000000,239000000,529000000,797000000,887000000,1075000000,1283000000,1414582000,1244319000,1228789000,1227928000,1196933000,1404494000,1663677000,2259433000,2697171000,2512044100,3225748879,3747622856,4198155186,4566857589,5922655347,5250459024,5140803656,5211813393,
Barbados,BRB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,600000,900000,2100000,2550000,2050000,2200000,2150000,4700000,6400000,5400000,7700000,15450000,5500000,6550000,4000000,2700000,7250000,10150000,12950000,14650000,17800000,20650000,22200000,22600000,23700000,24300000,24600000,24950000,20014134.73,19056795.12,34400000,25950000,31800000,36771831.54,19147648.53,12425727,9222731.572,12137663.51,,,,,
Brunei Darussalam,BRN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2121366.487,2355730.667,2698279.788,3380810.304,3657500.952,5544929.727,6640964.039,7252228.193,7578254.53,,,,,,13635732.65,37774081.59,17254031.09,
Bhutan,BTN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4023.240922,93074.32339,126846.9715,369573.5846,167599.4428,221228.1435,65332.22774,39214.89741,665037.9805,486417.0298,355875.6014,279474.1542,
Botswana,BWA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,120750.0512,,,,,,,,,,,,7847496.975,5837085.942,10475298.91,9120642.159,2085936.486,5843720.165,,3273561.967,8524141.717,6400836.953,5776673.744,8682797.591,8440552.394,11905858.96,11035759.34,12310533.21,7340944.07,11367355.43,6546862.434,9290541.551,11408333.54,11216665.1,13283368.75,10250470.89,9090257.442,8816753.817,6090083.129,15634954.49,
Central African Republic,CAF,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,595523427.9,676791311.3,718904591.8,798409863.3,797921127.1,936830514.7,980468454.4,1303280360,1446457816,1663735510,1788584438,1712792405,1685668201,1763794953,1882428690,1950384131,2287708729,2592280796,3212778230,3563990016,3543735427,4483116912,5454803345,6457873438,6957118229,7083044947,8161983551,8923852287,8911522147,9730797451,10408462400,10903865024,11805191192,11697517135,10730048600,11449343397,11904359862,
Central Europe and the Baltics,CEB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35895240.69,39068374.03,34526738.14,84146420.63,230704620.5,325634242.5,536658461.6,634021640.9,703396728,1154375492,1138630353,1144319030,1445432918,1832939682,2553862579,3252298875,3720428348,4790951987,6522547714,5641562440,6417107645,7225142145,6701860321,8136782123,8444207404,7797520323,7657527124,8475767294,
Switzerland,CHE,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880291257.9,939288966.1,1367500119,1516266788,2635793639,3768543330,3553192214,4682469844,4978149613,6995965777,8024802996,10650115899,11111270558,11768931824,14142728874,12677016574,11892876891,12239609348,
